MARQUE,REFCIALE,VCODE,VCODELIBELLE,VTYP,VARIANTE,VFABDIS,VVALEUR,VUNITE,VNUMV,VNUMR
BLAKLADER,107916451098C44,COL,Pantalon peintre stretch 4D avec poches flottantes Blanc/Gris foncé,FABDIS,Blanc/Gris foncé,COLORM,,,1,1
BLAKLADER,107916451098C46,COL,Pantalon peintre stretch 4D avec poches flottantes Blanc/Gris foncé,FABDIS,Blanc/Gris foncé,COLORM,,,1,1
BLAKLADER,107916451098C146,COL,Pantalon peintre stretch 4D avec poches flottantes Blanc/Gris foncé,FABDIS,Blanc/Gris foncé,COLORM,,,1,1
BLAKLADER,107916451098C48,COL,Pantalon peintre stretch 4D avec poches flottantes Blanc/Gris foncé,FABDIS,Blanc/Gris foncé,COLORM,,,1,1
BLAKLADER,107916451098C50,COL,Pantalon peintre stretch 4D avec poches flottantes Blanc/Gris foncé,FABDIS,Blanc/Gris foncé,COLORM,,,1,1
BLAKLADER,107916451098C148,COL,Pantalon peintre stretch 4D avec poches flottantes Blanc/Gris foncé,FABDIS,Blanc/Gris foncé,COLORM,,,1,1
BLAKLADER,107916451098C52,COL,Pantalon peintre stretch 4D avec poches flottantes Blanc/Gris foncé,FABDIS,Blanc/Gris foncé,COLORM,,,1,1
BLAKLADER,107916451098C54,COL,Pantalon peintre stretch 4D avec poches flottantes Blanc/Gris foncé,FABDIS,Blanc/Gris foncé,COLORM,,,1,1
BLAKLADER,107916451098C150,COL,Pantalon peintre stretch 4D avec poches flottantes Blanc/Gris foncé,FABDIS,Blanc/Gris foncé,COLORM,,,1,1
BLAKLADER,107916451098C56,COL,Pantalon peintre stretch 4D avec poches flottantes Blanc/Gris foncé,FABDIS,Blanc/Gris foncé,COLORM,,,1,1
BLAKLADER,107916451098C58,COL,Pantalon peintre stretch 4D avec poches flottantes Blanc/Gris foncé,FABDIS,Blanc/Gris foncé,COLORM,,,1,1
BLAKLADER,107916451098C152,COL,Pantalon peintre stretch 4D avec poches flottantes Blanc/Gris foncé,FABDIS,Blanc/Gris foncé,COLORM,,,1,1
BLAKLADER,107916451098C60,COL,Pantalon peintre stretch 4D avec poches flottantes Blanc/Gris foncé,FABDIS,Blanc/Gris foncé,COLORM,,,1,1
BLAKLADER,107916451098C62,COL,Pantalon peintre stretch 4D avec poches flottantes Blanc/Gris foncé,FABDIS,Blanc/Gris foncé,COLORM,,,1,1
